103,21,10,9,9,13,31,238,26,100
13,13,7,8,8,23,16,17,7,7
13,12,8,6,6,15,11,23,5,13
8,18,5,4,4,22,7,124,13,8
8,11,5,4,4,15,6,15,6,7
9,7,7,6,7,9,5,9,6,9
8,8,6,5,5,13,6,14,7,7
11,10,7,6,7,11,7,11,9,9
11,11,10,11,11,21,11,17,7,10
19,19,10,13,12,91,12,116,19,16
100,17,14,14,14,37,14,227,26,15
23,20,9,9,9,20,9,169,9,8
17,31,11,11,13,47,13,220,20,13
9,11,9,9,9,11,9,160,9,8
8,13,9,9,7,90,9,224,8,7
9,690,8,8,8,93,9,298,7,7
8,690,8,10,10,111,13,237,23,20
14,14,11,10,11,14,10,224,22,13
13,689,11,10,10,94,13,247,26,20
94,690,11,10,10,109,13,264,29,20
99,687,10,10,10,864,25,864,12,20
120,234,11,10,10,119,40,864,25,20
168,687,11,10,10,274,11,12,11,12
103,25,29,10,10,16,13,228,28,7
12,13,8,6,6,11,12,19,31,7
7,8,6,4,9,13,4,10,6,7
7,7,6,6,6,13,6,10,7,11
19,17,12,8,9,5,10,17,25,25
15,13,15,12,12,13,15,14,8,15
17,12,9,12,9,51,9,44,7,12
48,40,9,7,7,28,13,232,7,7
92,21,10,10,10,42,26,231,9,20
106,73,9,10,7,111,13,353,25,20
19,92,12,10,10,108,25,236,33,20
108,687,12,7,7,126,13,864,35,20
105,67,8,4,4,105,10,564,8,9
20,20,9,7,10,20,12,226,22,12
107,233,9,12,12,105,12,864,9,12
112,18,14,13,20,26,13,247,19,19
106,687,8,4,4,103,9,721,36,38
115,687,10,8,8,864,22,864,25,86
99,220,6,4,4,291,6,831,21,40
67,18,13,14,14,100,15,233,18,21
110,69,22,20,19,96,25,815,21,22
114,244,11,10,10,98,49,864,24,7
109,30,13,10,10,96,23,386,18,28
11,11,8,4,4,12,8,11,8,8
125,687,19,20,47,864,83,864,13,13
93,24,13,15,15,93,20,240,29,24
96,250,6,4,4,335,18,231,26,7
531,687,6,4,4,864,135,864,27,7
11,26,6,4,4,864,11,12,14,31
199,136,6,4,4,158,454,416,131,7
228,687,6,4,4,864,233,864,25,28
864,687,6,4,4,864,462,864,104,90
101,687,6,4,4,864,864,864,126,120
864,687,10,7,7,864,186,864,47,107
106,130,13,14,11,163,15,435,26,34
120,132,13,12,14,170,20,429,35,17
864,687,13,11,13,864,529,864,28,124
864,687,10,11,17,864,864,864,131,132
864,687,7,11,11,864,11,864,28,189
864,687,7,11,8,864,11,864,28,193
864,687,7,11,8,864,11,864,28,136
864,687,13,11,11,864,536,864,28,145
864,687,13,11,13,864,864,864,134,157
864,687,13,11,11,864,864,864,130,134
864,687,12,11,14,864,864,864,130,134
864,687,13,11,17,864,864,864,129,137
864,687,13,11,13,864,864,864,134,192
864,687,107,8,8,864,864,864,132,191
864,687,107,8,8,864,864,864,132,191
864,687,109,8,8,864,864,864,139,191
864,687,109,8,8,864,864,864,139,191
864,687,109,8,8,864,864,864,403,130
864,687,109,8,8,864,864,864,228,130
864,687,112,11,11,864,864,864,403,130
864,687,112,165,430,864,864,864,403,130
864,687,112,165,430,864,864,864,403,130
864,687,112,165,430,864,864,864,403,130
864,687,112,165,430,864,864,864,403,130
864,687,112,165,430,864,864,864,403,130
864,687,112,162,430,864,864,864,129,130
864,687,112,162,430,864,864,864,129,130
864,687,112,162,430,864,864,864,129,130
864,687,112,162,430,864,864,864,129,130
864,687,112,162,430,864,864,864,129,130
864,687,112,162,439,864,864,864,129,130
864,687,113,129,104,864,864,864,130,132
864,687,113,165,430,864,864,864,401,130
864,687,118,132,104,864,864,864,148,132
864,687,112,149,409,864,864,864,129,130
864,687,118,129,104,864,864,864,130,122
864,687,118,129,104,864,864,864,130,122
864,687,118,126,104,864,864,864,130,122
864,687,118,126,104,864,864,864,130,122
864,687,118,126,104,864,864,864,130,122
864,687,118,126,104,864,864,864,130,122
864,687,118,129,104,864,864,864,130,122
864,687,112,148,409,864,864,864,129,130
864,687,111,142,148,864,864,864,129,130
864,687,111,162,430,864,864,864,129,130
864,687,112,162,149,864,864,864,129,130
864,687,112,162,430,864,864,864,129,130
864,687,111,162,115,864,864,864,129,130
864,687,112,162,418,864,864,864,398,130
864,687,115,129,107,864,864,864,152,130
864,687,111,165,128,864,864,864,394,130
864,687,112,164,419,864,864,864,397,130
864,687,113,225,157,864,864,864,403,137
864,687,118,225,107,864,864,864,393,189
864,687,113,225,106,864,864,864,395,130
864,687,118,129,107,864,864,864,160,130
864,687,115,225,110,864,864,864,135,130
864,687,113,226,105,864,864,864,150,154
864,687,113,441,104,864,864,864,134,143
864,687,113,89,106,864,864,864,124,133
864,687,111,173,106,864,864,864,125,131
864,687,113,238,108,864,864,864,125,118
864,687,112,441,109,864,864,864,125,133
864,687,113,94,91,864,864,864,125,125
864,687,108,169,85,864,864,864,18,122
864,687,113,156,104,864,864,864,18,125
864,687,108,96,85,864,864,864,18,128
864,687,89,91,86,864,864,864,18,97
864,687,84,145,103,864,864,864,125,124
864,687,116,101,108,864,864,864,125,131
864,687,110,124,105,864,864,864,125,126
864,687,100,91,87,864,864,864,125,131
864,687,115,91,92,864,864,864,125,137
864,687,111,173,94,864,864,864,125,137
864,687,95,173,100,864,864,864,125,126
864,687,116,142,95,864,864,864,125,129
864,687,88,11,11,864,864,864,123,121
864,687,95,173,21,864,864,864,133,128
864,687,113,11,11,864,864,864,125,120
864,687,95,91,101,864,864,864,132,126
864,687,106,11,11,864,864,864,103,128
864,687,115,11,11,864,864,864,153,128
864,687,97,14,20,864,864,864,123,126
864,687,100,14,14,864,864,864,98,129
864,687,94,14,11,864,864,864,96,129
864,687,94,95,93,864,864,864,129,127
864,687,95,97,93,864,864,864,98,127
864,687,96,97,94,864,864,864,122,127
864,687,105,93,88,864,864,864,145,118
